x,y
1,3457
2,9345
3,1289
4,7654
5,4821
6,1928
7,7384
8,2837
9,5902
10,8123
11,4612
12,3771
13,6294
14,5089
15,2345
16,8743
17,3901
18,5120
19,6948
20,1752
21,4890
22,7213
23,3579
24,6205
25,4137
26,2801
27,6782
28,1459
29,5096
30,7623
31,3124
32,8917
33,2348
34,4801
35,6985
36,1723
37,6157
38,3982
39,5276
40,8394
41,2491
42,5830
43,3657
44,7921
45,4037
46,6593
47,1187
48,4875
49,7261
50,3148
51,5942
52,1829
53,7035
54,4290
55,3182
56,6549
57,2710
58,4896
59,8124
60,3547
61,6293
62,1508
63,7834
64,4267
65,5901
66,2397
67,6712
68,4803
69,3094
70,7548
71,1278
72,5629
73,3940
74,6185
75,2817
76,4701
77,7920
78,3458
79,6934
80,1283
81,5072
82,6749
83,2384
84,5903
85,4170
86,7421
87,3652
88,6890
89,2149
90,5718
91,4827
92,3095
93,7450
94,1267
95,5932
96,4148
97,6785
98,2390
99,5021
100,7357
